RECID	HHOLDID	NOJOUR	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	I25	I27	I28	I30	I31	I32	I33	I34	I35
3	4295	10	1	1	1	1	2	3	6	1	31	9	1	2	1	1	1	10	1	1	1	7	1	2	8	2	4	3	7	8	6	6	4	1	1
3	4295	10	2	1	1	3	2	1	6	13	27	12	2	1	2	1	2	8	4	9	13	2	1	2	8	2	4	3	7	8	6	6	3	6	1
3	4296	26	1	1	1	1	1	1	8	7	28	7	1	2	1	2	2	8	4	9	13	3	1	2	8	2	1	8	1	8	9	11	7	1	3
3	4296	10	2	1	1	2	1	2	11	1	28	12	2	1	1	1	1	10	2	9	13	7	1	2	8	2	2	2	7	8	5	5	2	1	1
3	4296	55	3	1	1	3	2	1	4	6	20	5	1	2	2	2	2	6	4	9	13	1	1	1	7	1	2	2	7	8	13	13	13	1	3
3	4296	16	4	1	3	4	2	7	19	14	13	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	7	9	5	2	2
3	4297	24	1	1	1	1	1	1	9	6	27	7	1	2	2	1	2	8	4	9	13	2	1	1	4	1	7	8	7	8	9	11	4	1	4
3	4297	4	2	1	1	2	1	4	18	1	28	12	2	1	1	1	1	10	2	9	13	7	1	1	4	1	3	2	1	8	3	3	3	3	1
3	4297	8	3	1	3	4	2	7	19	14	14	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	3	3	2	1	3
3	4297	4	4	1	3	4	2	7	19	14	13	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	3	3	2	1	1
3	4297	4	5	1	3	4	2	7	19	14	11	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	1	1	1	1	1
