RECID	HHOLDID	NOVEH	NOIND	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36
1	5147	0	2	4	14	9	8	2	6	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	8	1	7	2	2	1	2	6	3	3	2	1	1
1	5148	0	1	7	17	9	8	2	6	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	10	1	8	1	2	1	2	6	2	2	2	1	1
1	5149	1	6	7	11	10	8	2	6	1	3	3	3	2	1	1	2	1	8	4	3	2	11	3	1	9	8	4	8	2	4	1	6	12	13	10	1	12
1	5150	0	2	1	25	10	8	2	6	1	4	3	3	1	1	1	1	1	2	1	8	1	4	6	1	9	8	3	11	7	1	2	6	10	13	7	10	9
1	5151	1	2	1	9	10	8	2	6	1	3	3	3	2	1	1	2	1	8	4	3	3	4	6	1	9	6	3	9	5	1	2	6	12	13	11	1	12
1	5152	1	2	2	25	10	8	2	6	1	3	3	3	2	1	1	2	1	8	4	3	2	4	6	1	9	9	4	10	6	1	2	6	12	13	9	2	1
1	5153	1	3	3	5	10	8	2	6	1	3	3	3	2	1	1	2	2	8	4	3	3	7	7	1	9	4	6	9	4	1	2	6	14	13	12	2	9
1	5154	0	3	4	8	10	8	2	6	1	4	3	3	1	1	1	1	1	1	1	8	1	7	6	1	9	7	6	10	5	1	2	6	9	10	7	7	3
1	5155	0	1	4	8	9	8	2	6	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	4	18	2	8	2	3	1	2	6	2	2	2	1	6
1	5156	0	3	5	2	10	8	2	6	1	4	3	3	1	1	1	1	2	2	1	7	1	6	6	1	9	5	3	8	3	2	1	6	12	13	8	9	7
1	5157	0	2	6	10	10	8	2	6	1	4	3	3	1	1	1	1	1	2	1	8	1	4	3	1	10	13	5	13	8	1	2	6	2	2	2	2	3
1	5158	3	4	1	6	10	8	2	6	1	3	3	3	4	1	1	4	1	8	4	1	3	10	7	1	1	10	4	12	5	1	2	6	14	13	12	3	11
1	5159	2	4	2	25	10	8	2	6	1	3	3	3	2	1	2	3	1	8	4	2	2	8	6	1	16	8	3	9	3	3	1	6	12	13	11	8	5
1	5160	0	3	4	13	9	6	9	7	1	4	3	3	1	1	1	1	3	8	4	7	1	6	6	1	9	7	5	9	4	2	2	7	9	11	12	6	3
