RECID	HHOLDID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54
2	141	1	2	1	2	1	2	10	5	1	13	1	1	2	2	3	1	2	1	8	6	9	1	6	17	17	9	1	9	1	3	3	3	3	3	3	3	3	2	22	8	8	3	18	2	1	5	1	4	1	8	6	5	9	1
2	142	1	2	1	2	1	4	9	1	1	9	1	1	2	2	3	1	2	1	1	2	1	2	5	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	5	1	3	1	4	1	8	5	7	7	4
2	143	1	1	3	3	2	1	10	9	1	16	1	1	2	2	3	1	2	1	2	2	1	3	15	15	7	13	1	9	1	2	2	1	1	1	2	1	2	2	22	8	8	1	9	7	1	2	1	4	1	8	4	10	13	11
2	144	1	2	1	2	1	7	9	4	1	14	1	1	2	2	3	1	2	1	1	3	2	2	9	9	2	11	1	9	1	2	1	2	2	2	2	2	2	2	22	8	3	1	6	3	2	3	1	4	1	8	3	12	11	9
2	145	1	2	1	2	1	2	11	10	1	13	1	1	2	3	3	1	2	1	1	2	1	1	10	17	17	11	1	9	1	1	3	3	3	3	3	3	3	3	6	3	8	1	4	10	1	3	1	4	1	7	6	13	11	4
2	146	1	2	1	3	1	1	8	3	3	12	1	1	1	4	3	3	8	1	1	2	1	1	12	7	10	12	1	9	1	1	1	2	2	2	2	2	2	2	3	3	2	1	4	9	1	3	1	4	1	8	4	13	12	6
2	146	2	2	1	3	1	1	8	1	4	5	1	1	2	2	3	1	2	1	8	6	9	2	4	17	17	4	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	2	5	1	2	8	1	4	2	8	5	7	4	1
2	147	1	1	3	2	1	1	11	3	1	9	1	1	2	3	3	1	2	1	8	6	9	1	10	7	7	10	1	9	1	2	2	2	2	1	2	2	2	1	22	8	8	2	6	1	2	8	1	4	2	8	4	14	14	15
2	148	1	2	1	2	1	4	9	2	1	11	1	1	2	2	3	1	2	1	2	2	1	1	9	17	17	11	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	13	4	2	3	1	4	1	8	5	12	11	5
2	149	1	2	1	1	1	9	8	16	6	19	1	2	4	14	9	9	11	9	3	3	1	2	7	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	4	2	2	1	4	1	8	5	5	7	7
2	150	1	2	1	2	1	1	8	1	1	4	1	2	4	14	9	9	11	9	4	2	1	2	4	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	15	3	2	3	1	4	1	8	5	7	7	4
2	151	1	2	1	2	1	1	11	8	1	15	1	1	2	3	3	1	2	1	1	2	1	1	9	17	17	9	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	1	9	8	11	2	4	1	9	5	14	14	15
2	154	1	2	1	7	3	9	2	16	6	19	1	4	4	14	9	9	11	9	8	6	9	1	4	17	17	2	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	3	18	1	1	5	1	4	1	10	5	14	14	15
2	154	2	2	1	7	3	9	2	16	6	19	1	4	4	14	9	9	11	9	1	2	1	1	10	17	17	11	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	6	4	3	3	1	4	3	10	5	14	14	15
